http://movie.douban.com/subject/1761848/	夏娃的诱惑 이브의 모든것
(5星)	 喜欢看韩剧的最初，是从夏娃的诱惑开始。在凤凰台看到此剧时，疯狂迷恋，租碟回家，一口气看完。那一年，做任何事都疯狂，从不考虑后果。那一年，真的很幸福，走在路上都带着微笑。            
(5星)	 我有多喜欢徐迎美，就有多讨厌甄善美。再次哀悼下又是车祸挂掉的某人...ohba!            
(5星)	 哇，简直就是青春的回忆。看这个片子，应该是10年前鸟~            
(5星)	 居然第一次超级迷恋喜欢电视剧里面的坏女人角色！！！金素妍在里面太迷人了！！！            
(4星)	 高中的记忆~哈哈            
(5星)	 这几天连着看了两遍。。。。            
(NA)	 今天突然很想看这个。            
(5星)	 喜欢善美阳光灿烂的微笑，同情迎美的伤痕累累，看到幼政的无可奈何和深情许许，当然最喜欢的还是超级爱的大帅哥张东健的英俊潇洒，对爱情的付出和隐忍。            
(4星)	 尹享哲做男朋友真美好啊~~~~~蔡琳肉肉的好看。            
(5星)	 我把这部剧看了差不多13遍。。学长，我太爱你了！            
(4星)	 结果那时候就喜欢叔了么（远目            
(5星)	 经典            
(4星)	 欣赏迎美的人不会是喜欢迎美那样恶劣缺德的人做朋友和同事吧？            
(NA)	 很喜欢善美笑起来时的眼睛，当时张东健也算经典了。            
(5星)	 张东健的角色实在让人羡慕嫉妒恨啊！现实中要真有这样的人就好了！太完美了。            
(NA)	 韩剧的初始，凤凰卫视            
(5星)	 经典            
(5星)	 我的最爱~~forever            
(5星)	 超级大爱~            
(3星)	 蔡琳好丑            
(5星)	 非常向往学长那样的爱情~！            
(4星)	 当时来说还蛮经典的说            
(5星)	 对我来说是韩剧的启蒙剧吧            
(5星)	 社长是我的理想型。            
(5星)	 仍然记忆犹新！            
(5星)	 初中回忆  话说张东健长得有点像我的某某某同学 哈哈            
(5星)	 这辈子唯一看过的韩剧，上学期又看了遍|||||||            
(NA)	 十年了。最经典的韩剧。            
(5星)	 电视党的回忆             
(4星)	 今天居然看到这部韩剧的同人小说。很怀念啊。两个男主角都很帅。还记得结局，虽然有点仓促，但很美好。演刘永希那个演员叫什么~觉得她给我的印象比两个女主角还好。            
(2星)	 这可能是我看过的唯一一部韩剧了，无聊...            
(5星)	 好帅的张东健！            
(4星)	 纯啊 多年前看的  初中时            
(5星)	 善~            
(5星)	 经典那~ 最最最爱啊~ 十一年来百看不厌滴主播故事~享哲学长~ 善美~            
(4星)	 张东健真帅啊真帅啊            
(1星)	 那个烂情节，那个肉包子脸，那个非黑即白，都让我无比鄙视。            
(5星)	 美好到让我相信爱情友情以及一切感情的好片！            
(5星)	 尹享哲 完美男人            
(5星)	 很不错, 很久以前看过的电视剧. 很唯美            
(4星)	 带着好美又青涩的回忆            
(5星)	 当时觉得金素妍好美            
(3星)	 那时太小            
(5星)	 我喜欢的为数不多的韩剧之一！五颗星！            
(5星)	 蔡琳和张东健那是很萌，算是韩剧启蒙。看了好多次。            
(5星)	 唯一从头至尾看完的韩剧，心情不好的时候经常回味，在这里学会如何用宽大的胸襟真正的去爱一个人，强烈推荐            
(5星)	 当年被学长这对萌到了，张东健完全是（¯﹃¯）理想学长！            
(5星)	 决定从这一部开始数数我都看了哪些韩剧，祭奠我逝去的青春啊~学长啊学长，够不着啊够不着~            
(5星)	 喜欢的第一部韩剧 虽然当年小 但是现在看看这部剧还是很有魅力的 尹享哲理事那时是我的理想型 呵呵            
(4星)	 然后就爱上张东健了            
(5星)	 突然想再看一遍哦~因为一直好喜欢张东健和蔡琳：）            
(5星)	 最爱的韩剧            
(NA)	 7点新闻 PK 9点新闻            
(4星)	 凤凰卫视            
(NA)	 张东健的大毛手            
(5星)	 跟LZ同感，我也不喜欢张东健剧里的造型；倒是两位女主角，平分秋色啊！            
(5星)	 没有六星吗？？怎么能没有六星！！！            
(3星)	 又是一部傻女主            
(5星)	 这个是真好看            
(4星)	 经典！            
(4星)	 可怜的韩载锡，可恨的金素妍，不过觉得金素妍演得挺好，长得比蔡琳也要好            
(5星)	 刚开始真的觉得女主角难看，但看着看着就顺眼了，男主角太帅了当时觉得            
(4星)	 当初很喜欢            
(4星)	   那啥，當年我可是超級喜歡張東健，這里面的角色又超級溫柔~              
(5星)	 这个很经典 当年反复看了好几遍            
(5星)	 这个太经典……            
(5星)	 百看不厌，绝对是我看过最最多次的电视剧，每次都有新感受新体会，每次都意犹未尽。。。学长是那么的温柔，那么确定，那么有判断力，没有什么肉麻的甜言蜜语，但是每一句话读是那么真挚，那么让人心动不已。。。            
(3星)	None
(5星)	 经典，百看不厌。            
(5星)	 我看的第一个韩剧。无论是当时还是现在都觉得非常好的电视剧。            
(5星)	 真善美啊  当时凤凰卫视晚7点首播早6点重播 偶只能坚持着看重播 呵呵呵  好像几年后翻成了女主播的故事 挫            
(4星)	 很少看韩剧的我，在同学的推荐下看了这部连续剧，觉得还是蛮不错地，至少可以消磨下时光，不错，顺便感叹下，现在生活中肯定不少像迎美那样的人存在吧，现实社会就是这样子，不过还是做自己吧！好人终有好报的！！            
(4星)	 经典中经典。忘不了的佑振和迎美。            
(5星)	 看的第二部韩剧            
(5星)	 佑振和《天桥风云》上的远均一样，也是出车祸死了，虐人 &gt;&lt;            
(NA)	 当时恨死女配了 金素妍演技很赞            
(5星)	 看的第一部韩剧吧，我因为这部剧喜欢蔡琳，老妈因为这部剧喜欢张东健。            
(4星)	 我承认背景音乐有种宿命的味道。            
(5星)	 呵呵。。永远的经典！他们的笑容啊。。真是~            
(5星)	 看的第一部韩剧，最爱的。反反复复看了不下十遍、、、            
(NA)	 那时候的张东健 多俊啊~！            
(5星)	 超级喜欢呀,里面觉得蔡琳好可爱            
(5星)	 十年间当我灰心失望或是寂寞空虚的时候，我都会拿出这部片子。不管何时总能给我勇气和希望，里面承载了好多回忆和欢乐。            
(3星)	None
(3星)	 迷上东健，简直是世间尤物。迎美这种事业心超强的女性曾经何时是我向往的，但我不适合。            
(3星)	 话说蔡琳演得还真多==            
(5星)	 主题曲很好听（you can&#39;t say)            
(5星)	 当时超级喜欢两个主角，可惜了蔡琳了，生生把自己给整残了，唉，张东健是韩国难得一见的美男子啊            
(3星)	 女反派比女主美多了= =            
(NA)	 小学时看的，我竟然还记得这部片子，真神奇，那应该是韩剧史上蛇蝎美女正盛行的时候吧            
(5星)	 经典            
(5星)	 当年觉得金素妍是绝色            
(3星)	 第一眼看见金素妍，脑子里就是“漂亮”俩字            
(4星)	 比较喜欢            
(4星)	 中学时代的韩剧，更积极向上一些            
(5星)	 我依旧向往童话般的爱情。            
(NA)	 金素妍美呆了。。            
(4星)	 很好看            
(NA)	 经典韩剧！            
(4星)	 内心非常复杂            
(4星)	 10年后转身看，还是会很心动的好剧，            
(4星)	 看的第一部韩剧，直接影响我的爱情观。对学长的盲目期待由此片开始。亲爱的尹理事啊！            
(3星)	 假如也有个对我这么好的男人。。真是韩剧中的经典。。            
(NA)	 永远的最爱~~            
(5星)	 最喜欢的两部韩剧中的一部！学长的呵护，善美的成长···永远的经典。            
(3星)	 看的第一部韩剧            
(5星)	 My 1st Korean Drama            
(NA)	 超级喜欢。。。            
(5星)	 蔡琳最美的时候            
(5星)	 经典！            
(4星)	 四星给张东健，和痴爱迎美至死的佑振。。。            
(4星)	 人生中的第一部韩剧。。。            
(5星)	 突然看到这个。。。以前很喜欢。            
(5星)	 最难忘，最喜爱，最着迷的一部韩剧            
(4星)	 张东健肯定不是这个年代的帅哥之列，不过俺喜欢，啊哈哈哈~            
(4星)	 观看时间：2011年3月26-28日。    佑振哥与徐迎美，这一对苦命鸳鸯占据了我的心。所有的眼泪都给了佑振哥。学长与善美的爱情反而显得波澜不惊，顺风顺水。张东健唱的那首歌最动人，其它时候都是一张笑面，最后吻戏也是笑着来的，很有喜感。            
(4星)	 到现在韩剧永远都是这样，一个女主角跟刘三好一样，一个女主角让人恨得牙痒痒！！            
(5星)	 ！！哎。。。某一集的那个张的那个紧张的神态。。。。。一辈子忘不掉啊            
(NA)	 学长~！！！\(≧▽≦)/            
(5星)	 喜欢男二女二..佑镇哥，这么多年我还记得你T T            
(NA)	 哇哇。怀旧剧场。。            
(4星)	 那时喜欢的不行！            
(5星)	 那时候他们还很年轻。            
(5星)	 我最喜欢的是迎美            
(5星)	 看了不下十遍???吧....治愈系的电视啊。..            
